lambda(mkm),ldUld(eV/cm^3)
2.9999999,0.005208546725017852
3.0936163,0.006730943049313218
3.1901541,0.01399270261659
3.2897041,0.16208876081803425
3.3923607,0.022338436347393614
3.4982207,0.009258245651135926
3.6073846,0.0074479612485878165
3.7199545,0.007027663256322659
3.8360372,0.007044994088393683
3.9557428,0.007237512786306324
4.0791834,0.007588906088498229
4.206476,0.00808324476483582
4.3377414,0.008707240598021622
4.4731024,0.009505456096930664
4.6126874,0.010577942386987999
4.7566288,0.011900633115531235
4.9050613,0.014009067071193338
5.0581258,0.01823748696884356
5.2159667,0.03441508052113254
5.378733,0.035298158954693445
5.5465793,0.04252567268760427
5.7196626,0.07484812333768895
5.898147,0.07413980661149291
6.0822019,0.21492795679233556
6.2719995,0.40997028003022845
6.4677198,0.16403189551179298
6.6695486,0.16595756864442
6.8776746,0.17398920418142616
7.0922952,0.22150800042441332
7.3136142,0.3594217704792508
7.5418385,0.730476636116933
7.7771847,0.8490782797618787
8.019876,0.5641405003155422
8.2701395,0.35201842286804286
8.5282126,0.41195651172727826
8.7943401,0.28662604886754506
9.0687698,0.15731270616683182
9.3517658,0.12162391320165876
9.6435915,0.10935586333184573
9.944525,0.10901351385226901
10.254848,0.11786317950314443
10.574853,0.14376354259195992
10.904847,0.2287165226915553
11.245139,0.8215067412774196
11.59605,0.3892387478590783
11.957908,0.3886000559860283
12.331061,0.4011281623253569
12.715855,0.4756196169262694
13.11266,0.29427593222966614
13.521848,0.29599457517402095
13.943804,0.24138774270575664
14.378925,0.22722144568272162
14.827623,0.21105025483804254
15.290327,0.21727527349812467
15.76747,0.234405014711982
16.259503,0.2913640963236
16.766889,0.3375706644269939
17.290104,0.3532186979948227
17.829647,0.29412400667913846
18.386031,0.26800907283860503
18.959777,0.27805527943650143
19.551427,0.2672867386787809
20.161535,0.27487789041189364
20.790686,0.2855101506185491
21.439465,0.3008218350437065
22.108496,0.32096881757122786
22.798403,0.34591762226861494
23.50984,0.3747300857153518
24.243471,0.41552124931709666
24.999995,0.46328458989887183
25.000002,0.463284460179197
26.954737,0.6275999997101468
29.062319,0.8872240804541855
31.334684,1.2616211368151513
33.784724,1.755378085217651
36.426341,2.353960591378484
39.274495,3.012877002934724
42.345355,3.677862438306409
45.656313,4.292374948308425
49.226152,4.804138569162364
53.07513,5.170312723655204
57.225042,5.380651624707707
61.69945,5.424174861619257
66.523693,5.308627886705828
71.72514,5.077901262607935
77.333285,4.751887944466591
83.379951,4.349403833251698
89.899403,3.917284011788321
96.928583,3.4800950546258456
104.50737,3.040333021874436
112.67874,2.629539228649181
121.48902,2.2713969618336987
130.98824,1.9637536237818165
141.23014,1.6656060089583782
152.27283,1.333769417582574
164.17896,1.061046589852684
177.01601,0.8416188504730929
190.85689,0.6658411902273209
205.77987,0.522582012386214
221.86967,0.4061984426887734
239.21753,0.31328456954366185
257.9218,0.2402635184780045
278.0887,0.18240695418712935
299.83213,0.137468097844052
323.276,0.10322407881380312
348.55275,0.07686011087510987
375.80588,0.05680628076943374
405.19013,0.04191247666044673
436.87147,0.030736899116091686
471.03044,0.022410105336241742
507.86002,0.016297369034142625
547.56929,0.0118113801978047
590.38372,0.008514271120672096
636.54512,0.006120889772913171
686.31657,0.004390892643866547
739.97925,0.0031364775309591073
797.83778,0.002234771124817219
860.2207,0.0015912561262619903
927.48033,0.0011294473206911054
1000.0,0.000798385212675814
